please_indicate_what_best_describes_you_,What_outsourced_public_service,What_outsourced_public_service/garbage_waste_disposal,What_outsourced_public_service/fresh_water_supply,What_outsourced_public_service/cleaning_of_business_environme,What_outsourced_public_service/use_of_car_parking_space,What_outsourced_public_service/AUTOMATIC,please_specify,name_of_your_county_government_,group_qo7it23/the_county_government_will_have_modern_looking_equipment_,group_qo7it23/the_physical_facilities_at_county_government_offices_will_be_visually_appealing_,group_qo7it23/employees_at_county_government_offices_will_be_neat_in_their_appearance_,group_qo7it23/materials_associated_with_the_service_pamphlets_or_statements_will_be_visually_appealing_at_county_government_offices_,group_qo7it23/when_the_county_government_promises_to_do_something_by_a_certain_time_they_do_,group_qo7it23/when_a_customer_has_a_problem_county_government_officers_will_show_a_sincere_interest_in_solving_it_,group_qo7it23/county_government_officers_will_perform_the_service_right_the_first_time_,group_qo7it23/the_county_government_will_provide_the_service_at_the_time_they_promise_to_do_so_,group_qo7it23/the_county_government_will_insist_on_error_free_records_,group_qo7it23/employees_of_the_county_government_will_tell_customers_exactly_when_services_will_be_performed_,group_qo7it23/employees_of_the_county_government_will_give_prompt_service_to_customers_,group_qo7it23/employees_of_the_county_government_will_always_be_willing_to_help_customers_,group_qo7it23/employees_of_the_county_government_will_never_be_too_busy_to_respond_to_customers_requests_,group_qo7it23/the_behavior_of_employees_in_the_county_government_offices_will_instil_confidence_in_customers_,group_qo7it23/customers_of_county_government_will_feel_safe_in_transactions_,group_qo7it23/employees_of_the_county_government_will_be_consistently_courteous_with_customers_,group_qo7it23/employees_of_the_county_government_will_have_the_knowledge_to_answer_customers_questions_,group_qo7it23/county_government_officers_will_give_customers_individual_attention_,group_qo7it23/county_governments_will_have_operating_hours_convenient_to_all_their_customers_,group_qo7it23/county_governments_will_have_employees_who_give_customers_personal_service_,group_qo7it23/county_governments_will_have_their_customers_best_interest_at_heart_,group_qo7it23/the_employees_of_the_county_government_will_understand_the_specific_needs_of_their_customers_,group_my4qi80/the_county_government_has_modern_looking_equipment_,group_my4qi80/the_county_government_s_physical_features_are_visually_appealing_,group_my4qi80/the_county_government_s_reception_desk_employees_are_neat_appearing_,group_my4qi80/materials_associated_with_the_service_such_as_pamphlets_or_statements_are_visually_appealing_at_the_county_government_offices_,group_my4qi80/when_the_county_government_promises_to_do_something_by_a_certain_time_it_does_so_,group_my4qi80/when_you_have_a_problem_the_county_government_employees_show_a_sincere_interest_in_solving_it_,group_my4qi80/the_county_government_performs_the_service_right_the_first_time_,group_my4qi80/the_county_government_provides_its_service_at_the_time_it_promises_to_do_so_,group_my4qi80/the_county_government_insists_on_error_free_records_,group_my4qi80/employees_in_the_county_government_offices_tell_you_exactly_when_the_services_will_be_performed_,group_my4qi80/employees_in_the_county_government_offices_give_you_prompt_service_,group_my4qi80/employees_in_the_county_government_offices_are_always_willing_to_help_you_,group_my4qi80/employees_in_the_county_government_offices_are_never_too_busy_to_respond_to_your_request_,group_my4qi80/the_behavior_of_employees_in_the_county_government_offices_instils_confidence_in_you_,group_my4qi80/you_feel_safe_in_your_transactions_with_the_county_government_officers_,group_my4qi80/employees_of_the_county_government_are_consistently_courteous_with_you_,group_my4qi80/employees_of_the_county_government_have_the_knowledge_to_answer_your_questions_,group_my4qi80/employees_of_the_county_government_give_you_individual_attention_,group_my4qi80/the_county_government_has_operating_hours_convenient_to_all_its_customers_,group_my4qi80/the_county_government_has_employees_who_give_you_personal_attention_,group_my4qi80/the_county_government_has_your_best_interests_at_heart_,group_my4qi80/the_employees_of_the_county_government_understand_your_specific_needs_,start,end,meta/instanceID,_id,_uuid,_submission_time,_index,_parent_table_name,_parent_index,_tags,_notes
business_custo,cleaning_of_business_environme,FALSE,FALSE,TRUE,FALSE,FALSE,,mombasa_county,strongly_agree,strongly_agree,strongly_agree,agree,neutral,neutral,neutral,agree,agree,agree,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,agree,agree,agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,neutral,neutral,neutral,neutral,neutral,agree,agree,agree,neutral,neutral,neutral,neutral,agree,neutral,neutral,neutral,neutral,neutral,2016-03-07T13:50:13.560+03,2016-03-07T13:53:00.585+03,uuid:8e64aa42-6505-455a-b074-db22f18e0723,689701,8e64aa42-6505-455a-b074-db22f18e0723,2016-03-07T11:03:23,11,,-1,,
resident_custo,garbage_waste_disposal,TRUE,FALSE,FALSE,FALSE,FALSE,,mombasa_county,strongly_agree,strongly_agree,strongly_agree,agree,neutral,neutral,neutral,neutral,strongly_agree,neutral,agree,neutral,neutral,neutral,neutral,agree,agree,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,agree,agree,agree,agree,agree,agree,neutral,neutral,neutral,neutral,neutral,agree,neutral,neutral,neutral,neutral,neutral,2016-03-07T13:44:01.790+03,2016-03-07T13:48:49.649+03,uuid:0d27ded5-bacc-4993-b69d-bd0ffea13034,689700,0d27ded5-bacc-4993-b69d-bd0ffea13034,2016-03-07T11:03:22,12,,-1,,
business_custo,cleaning_of_business_environme,FALSE,FALSE,TRUE,FALSE,FALSE,,mombasa_county,agree,disagree,neutral,disagree,agree,neutral,agree,neutral,agree,disagree,agree,neutral,disagree,agree,neutral,strongly_agree,agree,agree,agree,neutral,agree,neutral,disagree,option_5,agree,disagree,agree,neutral,neutral,disagree,neutral,neutral,neutral,agree,disagree,neutral,agree,agree,agree,neutral,neutral,agree,neutral,neutral,2016-03-07T13:40:38.956+03,2016-03-07T13:43:24.224+03,uuid:196d070d-32b8-4d21-8d34-3f5e20dd8faf,689699,196d070d-32b8-4d21-8d34-3f5e20dd8faf,2016-03-07T11:03:21,13,,-1,,
business_custo,garbage_waste_disposal fresh_water_supply use_of_car_parking_space,TRUE,TRUE,FALSE,TRUE,FALSE,,nairobi_county,neutral,disagree,neutral,neutral,neutral,neutral,disagree,disagree,neutral,neutral,neutral,disagree,neutral,neutral,neutral,neutral,neutral,neutral,agree,agree,agree,agree,disagree,neutral,disagree,disagree,option_5,neutral,option_5,neutral,disagree,disagree,option_5,disagree,disagree,option_5,option_5,disagree,disagree,option_5,agree,option_5,option_5,disagree,2016-02-28T10:34:12.384+03,2016-02-28T10:36:06.568+03,uuid:cbc88342-ae34-4520-8195-2bb360b99032,689698,cbc88342-ae34-4520-8195-2bb360b99032,2016-03-07T11:03:20,14,,-1,,
resident_custo,garbage_waste_disposal,TRUE,FALSE,FALSE,FALSE,FALSE,,nairobi_county,disagree,disagree,neutral,neutral,disagree,disagree,neutral,disagree,strongly_disag,disagree,strongly_disag,neutral,neutral,disagree,neutral,neutral,agree,neutral,agree,agree,neutral,neutral,option_5,option_5,neutral,neutral,option_5,option_5,option_5,option_5,neutral,neutral,disagree,neutral,neutral,disagree,neutral,neutral,agree,neutral,agree,neutral,disagree,option_5,2016-02-21T20:44:38.442+03,2016-02-21T20:51:22.042+03,uuid:cab451ec-7e9f-4acf-8be3-635902ac98b2,613637,cab451ec-7e9f-4acf-8be3-635902ac98b2,2016-02-21T17:51:31,15,,-1,,
resident_custo,garbage_waste_disposal use_of_car_parking_space,TRUE,FALSE,FALSE,TRUE,FALSE,,nairobi_county,agree,agree,agree,neutral,disagree,disagree,disagree,neutral,neutral,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,agree,strongly_disag,disagree,disagree,agree,agree,agree,neutral,disagree,option_5,option_5,disagree,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,agree,disagree,neutral,neutral,2016-02-23T11:47:26.850+03,2016-02-23T11:50:48.762+03,uuid:2fe26e78-083a-4783-a30c-dfd6a469d0cb,620184,2fe26e78-083a-4783-a30c-dfd6a469d0cb,2016-02-23T08:51:46,16,,-1,,
business_custo,garbage_waste_disposal fresh_water_supply use_of_car_parking_space,TRUE,TRUE,FALSE,TRUE,FALSE,,nairobi_county,agree,agree,agree,agree,strongly_agree,strongly_agree,agree,neutral,neutral,agree,agree,neutral,neutral,agree,agree,agree,strongly_agree,agree,strongly_agree,agree,agree,agree,neutral,agree,neutral,disagree,disagree,neutral,agree,neutral,agree,agree,neutral,agree,neutral,neutral,agree,neutral,neutral,agree,agree,agree,neutral,agree,2016-02-23T11:39:54.441+03,2016-02-23T11:41:59.375+03,uuid:d0bfcde3-c385-4a6c-b54f-5fe37f3a7b5b,620183,d0bfcde3-c385-4a6c-b54f-5fe37f3a7b5b,2016-02-23T08:51:45,17,,-1,,
business_custo,garbage_waste_disposal fresh_water_supply cleaning_of_business_environme use_of_car_parking_space,TRUE,TRUE,TRUE,TRUE,FALSE,,nairobi_county,neutral,neutral,neutral,neutral,disagree,disagree,disagree,disagree,neutral,disagree,disagree,neutral,neutral,disagree,neutral,disagree,neutral,neutral,neutral,neutral,disagree,neutral,agree,agree,agree,neutral,neutral,neutral,neutral,disagree,neutral,neutral,agree,disagree,neutral,neutral,neutral,option_5,disagree,option_5,disagree,neutral,agree,disagree,2016-02-23T11:37:20.242+03,2016-02-23T11:39:50.589+03,uuid:d161b1a0-cb4b-43d8-86b0-ef0bcd442db8,620182,d161b1a0-cb4b-43d8-86b0-ef0bcd442db8,2016-02-23T08:51:44,18,,-1,,
resident_custo,fresh_water_supply,FALSE,TRUE,FALSE,FALSE,FALSE,,nairobi_county,strongly_agree,agree,agree,neutral,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,neutral,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,agree,disagree,agree,strongly_agree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,agree,disagree,disagree,disagree,disagree,neutral,agree,disagree,neutral,disagree,agree,2016-02-22T11:12:17.810+03,2016-02-22T11:17:17.075+03,uuid:eb42a520-11b8-4079-bb2d-4de4804593e1,615149,eb42a520-11b8-4079-bb2d-4de4804593e1,2016-02-22T08:27:46,19,,-1,,
resident_custo,garbage_waste_disposal fresh_water_supply cleaning_of_business_environme use_of_car_parking_space,TRUE,TRUE,TRUE,TRUE,FALSE,,nairobi_county,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_agree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,agree,agree,strongly_agree,agree,agree,neutral,neutral,agree,neutral,disagree,disagree,neutral,disagree,disagree,option_5,neutral,disagree,disagree,neutral,disagree,disagree,disagree,neutral,neutral,disagree,neutral,2016-02-22T11:17:32.367+03,2016-02-22T11:21:28.557+03,uuid:f73beebd-bfe0-4f1f-a126-dafba70be4d3,615150,f73beebd-bfe0-4f1f-a126-dafba70be4d3,2016-02-22T08:27:47,20,,-1,,
resident_custo,garbage_waste_disposal fresh_water_supply cleaning_of_business_environme use_of_car_parking_space,TRUE,TRUE,TRUE,TRUE,FALSE,,nairobi_county,agree,agree,strongly_agree,agree,agree,agree,strongly_agree,agree,agree,neutral,agree,strongly_agree,neutral,neutral,agree,agree,agree,neutral,neutral,agree,neutral,neutral,disagree,neutral,neutral,neutral,disagree,disagree,disagree,disagree,option_5,option_5,option_5,disagree,disagree,disagree,disagree,disagree,disagree,disagree,neutral,disagree,neutral,disagree,2016-02-22T11:21:42.679+03,2016-02-22T11:25:38.438+03,uuid:eec2e6cd-608e-4390-83bd-641674e12c51,615151,eec2e6cd-608e-4390-83bd-641674e12c51,2016-02-22T08:27:48,21,,-1,,
resident_custo,garbage_waste_disposal fresh_water_supply cleaning_of_business_environme use_of_car_parking_space,TRUE,TRUE,TRUE,TRUE,FALSE,,nairobi_county,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,disagree,neutral,disagree,neutral,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,2016-02-22T11:26:43.938+03,2016-02-22T11:29:19.556+03,uuid:42a52d1d-8f7e-4683-98cd-3819b4586509,615167,42a52d1d-8f7e-4683-98cd-3819b4586509,2016-02-22T08:29:29,22,,-1,,
resident_custo,garbage_waste_disposal fresh_water_supply,TRUE,TRUE,FALSE,FALSE,FALSE,,nairobi_county,strongly_agree,strongly_agree,neutral,neutral,strongly_disag,strongly_disag,strongly_disag,strongly_disag,strongly_disag,strongly_disag,strongly_agree,agree,agree,agree,strongly_agree,strongly_agree,strongly_agree,agree,agree,strongly_agree,strongly_agree,agree,disagree,neutral,neutral,option_5,option_5,option_5,option_5,option_5,option_5,option_5,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,option_5,option_5,option_5,disagree,2016-02-22T11:29:37.308+03,2016-02-22T11:33:47.176+03,uuid:7795f85a-a51a-4cf3-b816-92532ccc832a,615182,7795f85a-a51a-4cf3-b816-92532ccc832a,2016-02-22T08:34:04,23,,-1,,
resident_custo,garbage_waste_disposal,TRUE,FALSE,FALSE,FALSE,FALSE,,nairobi_county,neutral,neutral,agree,agree,strongly_disag,strongly_disag,strongly_disag,strongly_disag,strongly_disag,strongly_disag,strongly_disag,strongly_disag,strongly_disag,strongly_disag,disagree,strongly_disag,strongly_disag,strongly_disag,strongly_disag,strongly_disag,strongly_disag,strongly_disag,option_5,neutral,agree,disagree,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,neutral,option_5,option_5,neutral,option_5,option_5,option_5,2016-02-22T11:34:00.987+03,2016-02-22T11:37:17.233+03,uuid:f03beb50-3148-42a7-a010-82d1056916f6,615190,f03beb50-3148-42a7-a010-82d1056916f6,2016-02-22T08:37:33,24,,-1,,
resident_custo,garbage_waste_disposal fresh_water_supply cleaning_of_business_environme use_of_car_parking_space,TRUE,TRUE,TRUE,TRUE,FALSE,,nairobi_county,strongly_agree,strongly_agree,agree,agree,agree,strongly_agree,agree,agree,agree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_agree,agree,neutral,strongly_agree,agree,agree,agree,disagree,option_5,disagree,disagree,option_5,disagree,option_5,option_5,option_5,option_5,disagree,option_5,disagree,disagree,option_5,option_5,neutral,neutral,option_5,option_5,option_5,neutral,2016-02-22T11:37:27.354+03,2016-02-22T11:41:26.089+03,uuid:158c3066-4ece-45b5-813b-8d0846305290,615258,158c3066-4ece-45b5-813b-8d0846305290,2016-02-22T08:41:41,25,,-1,,
resident_custo,garbage_waste_disposal fresh_water_supply cleaning_of_business_environme use_of_car_parking_space,TRUE,TRUE,TRUE,TRUE,FALSE,,nairobi_county,strongly_agree,strongly_agree,strongly_agree,agree,agree,agree,agree,agree,agree,agree,strongly_agree,strongly_agree,strongly_agree,neutral,agree,agree,agree,agree,agree,agree,agree,agree,disagree,disagree,option_5,disagree,option_5,option_5,option_5,disagree,option_5,disagree,disagree,option_5,disagree,neutral,disagree,disagree,disagree,disagree,option_5,disagree,option_5,disagree,2016-02-22T11:41:38.689+03,2016-02-22T11:44:09.147+03,uuid:378d51b2-d217-4823-a61f-1fbe0ae1399f,615406,378d51b2-d217-4823-a61f-1fbe0ae1399f,2016-02-22T08:44:24,26,,-1,,
resident_custo,garbage_waste_disposal,TRUE,FALSE,FALSE,FALSE,FALSE,,nairobi_county,agree,agree,agree,neutral,neutral,neutral,neutral,agree,agree,neutral,agree,neutral,neutral,neutral,agree,neutral,agree,neutral,agree,neutral,neutral,neutral,disagree,neutral,agree,neutral,disagree,disagree,disagree,disagree,disagree,agree,disagree,disagree,neutral,agree,disagree,disagree,agree,disagree,agree,disagree,disagree,agree,2016-02-22T11:44:23.053+03,2016-02-22T11:48:04.556+03,uuid:356ea035-e734-4bda-8d0e-5106a51a31fb,615501,356ea035-e734-4bda-8d0e-5106a51a31fb,2016-02-22T08:48:23,27,,-1,,
resident_custo,fresh_water_supply,FALSE,TRUE,FALSE,FALSE,FALSE,,nairobi_county,agree,agree,strongly_agree,neutral,strongly_agree,agree,agree,agree,strongly_agree,neutral,agree,agree,agree,agree,neutral,strongly_agree,strongly_agree,strongly_agree,agree,strongly_disag,neutral,agree,strongly_agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,neutral,agree,neutral,neutral,disagree,neutral,agree,neutral,agree,disagree,neutral,agree,2016-02-22T11:48:22.498+03,2016-02-22T11:52:08.732+03,uuid:34376f1c-2d1a-4461-bad2-25e90dcc7241,615523,34376f1c-2d1a-4461-bad2-25e90dcc7241,2016-02-22T08:52:25,28,,-1,,
